estado,unidade,equipamento,host
SC,0572-0 CACADOR,SC0572RA1.sc.caixa,SC0572RA1.sc.caixa
SC,0572-0 CACADOR,SC0572SW150.sc.caixa,SC0572SW150.sc.caixa
SC,0572-0 CACADOR,SC0572SW151.sc.caixa,SC0572SW151.sc.caixa
SC,0572-0 CACADOR,SC0572SW152.sc.caixa,SC0572SW152.sc.caixa
SC,0572-0 CACADOR,SC0572SW153.sc.caixa,SC0572SW153.sc.caixa
SC,0572-0 CACADOR,SC0572SW154.sc.caixa,SC0572SW154.sc.caixa
SC,0572-0 CACADOR,SC0572SW199.sc.caixa,SC0572SW199.sc.caixa
SC,0580-0 INDUSTRIAL,SC0580RA1.sc.caixa,SC0580RA1.sc.caixa
SC,0580-0 INDUSTRIAL,SC0580SW020.sc.caixa,SC0580SW020.sc.caixa
SC,0580-0 INDUSTRIAL,SC0580SW021.sc.caixa,SC0580SW021.sc.caixa
SC,0627-0 CONCoRDIA,SC0627RA1.sc.caixa,SC0627RA1.sc.caixa
SC,0627-0 CONCoRDIA,SC0627SW150.sc.caixa,SC0627SW150.sc.caixa
SC,0627-0 CONCoRDIA,SC0627SW151.sc.caixa,SC0627SW151.sc.caixa
SC,0627-0 CONCoRDIA,SC0627SW152.sc.caixa,SC0627SW152.sc.caixa
SC,0627-0 CONCoRDIA,SC0627SW153.sc.caixa,SC0627SW153.sc.caixa
SC,0627-0 CONCoRDIA,SC0627SW199.sc.caixa,SC0627SW199.sc.caixa
SC,0628-0 SAO BENTO DO SUL,SC0628RA1.sc.caixa,SC0628RA1.sc.caixa
SC,0628-0 SAO BENTO DO SUL,SC0628SW150.sc.caixa,SC0628SW150.sc.caixa
SC,0628-0 SAO BENTO DO SUL,SC0628SW151.sc.caixa,SC0628SW151.sc.caixa
SC,0628-0 SAO BENTO DO SUL,SC0628SW152.sc.caixa,SC0628SW152.sc.caixa
SC,0628-0 SAO BENTO DO SUL,SC0628SW153.sc.caixa,SC0628SW153.sc.caixa
SC,0628-0 SAO BENTO DO SUL,SC0628SW199.sc.caixa,SC0628SW199.sc.caixa
SC,0701-0 XANXERe,SC0701RA1.sc.caixa,SC0701RA1.sc.caixa
SC,0701-0 XANXERe,SC0701SW150.sc.caixa,SC0701SW150.sc.caixa
SC,0701-0 XANXERe,SC0701SW151.sc.caixa,SC0701SW151.sc.caixa
SC,0701-0 XANXERe,SC0701SW152.sc.caixa,SC0701SW152.sc.caixa
SC,0701-0 XANXERe,SC0701SW153.sc.caixa,SC0701SW153.sc.caixa
SC,0701-0 XANXERe,SC0701SW199.sc.caixa,SC0701SW199.sc.caixa
SC,0702-0 SAO MIGUEL DO OESTE,SC0702RA1.sc.caixa,SC0702RA1.sc.caixa
SC,0702-0 SAO MIGUEL DO OESTE,SC0702SW150.sc.caixa,SC0702SW150.sc.caixa
SC,0702-0 SAO MIGUEL DO OESTE,SC0702SW151.sc.caixa,SC0702SW151.sc.caixa
SC,0702-0 SAO MIGUEL DO OESTE,SC0702SW152.sc.caixa,SC0702SW152.sc.caixa
SC,0702-0 SAO MIGUEL DO OESTE,SC0702SW153.sc.caixa,SC0702SW153.sc.caixa
SC,0702-0 SAO MIGUEL DO OESTE,SC0702SW199.sc.caixa,SC0702SW199.sc.caixa
SC,0796-0 VIDEIRA,SC0796RA1.sc.caixa,SC0796RA1.sc.caixa
SC,0796-0 VIDEIRA,SC0796SW050.sc.caixa,SC0796SW050.sc.caixa
SC,0796-0 VIDEIRA,SC0796SW150.sc.caixa,SC0796SW150.sc.caixa
SC,0796-0 VIDEIRA,SC0796SW151.sc.caixa,SC0796SW151.sc.caixa
SC,0796-0 VIDEIRA,SC0796SW152.sc.caixa,SC0796SW152.sc.caixa
SC,0796-0 VIDEIRA,SC0796SW153.sc.caixa,SC0796SW153.sc.caixa
SC,0809-0 TIMBo,SC0809RA1.sc.caixa,SC0809RA1.sc.caixa
SC,0809-0 TIMBo,SC0809SW150.sc.caixa,SC0809SW150.sc.caixa
SC,0809-0 TIMBo,SC0809SW151.sc.caixa,SC0809SW151.sc.caixa
SC,0809-0 TIMBo,SC0809SW152.sc.caixa,SC0809SW152.sc.caixa
SC,0809-0 TIMBo,SC0809SW153.sc.caixa,SC0809SW153.sc.caixa
SC,0809-0 TIMBo,SC0809SW199.sc.caixa,SC0809SW199.sc.caixa
SC,0851-0 CAMPOS NOVOS,SC0851RA1.sc.caixa,SC0851RA1.sc.caixa
SC,0851-0 CAMPOS NOVOS,SC0851SW020.sc.caixa,SC0851SW020.sc.caixa
SC,0851-0 CAMPOS NOVOS,SC0851SW021.sc.caixa,SC0851SW021.sc.caixa
SC,0851-0 CAMPOS NOVOS,SC0851SW022.sc.caixa,SC0851SW022.sc.caixa
SC,0851-0 CAMPOS NOVOS,SC0851SW050.sc.caixa,SC0851SW050.sc.caixa
SC,0852-0 INDAIAL,SC0852RA1.sc.caixa,SC0852RA1.sc.caixa
SC,0852-0 INDAIAL,SC0852SW150.sc.caixa,SC0852SW150.sc.caixa
SC,0852-0 INDAIAL,SC0852SW151.sc.caixa,SC0852SW151.sc.caixa
SC,0852-0 INDAIAL,SC0852SW152.sc.caixa,SC0852SW152.sc.caixa
SC,0852-0 INDAIAL,SC0852SW199.sc.caixa,SC0852SW199.sc.caixa
SC,0853-0 URUSSANGA,SC0853RA1.sc.caixa,SC0853RA1.sc.caixa
SC,0853-0 URUSSANGA,SC0853SW020.sc.caixa,SC0853SW020.sc.caixa
SC,0853-0 URUSSANGA,SC0853SW021.sc.caixa,SC0853SW021.sc.caixa
SC,0853-0 URUSSANGA,SC0853SW022.sc.caixa,SC0853SW022.sc.caixa
SC,0853-0 URUSSANGA,SC0853SW050.sc.caixa,SC0853SW050.sc.caixa
SC,0878-0 MAFRA,SC0878RA1.sc.caixa,SC0878RA1.sc.caixa
SC,0878-0 MAFRA,SC0878SW150.sc.caixa,SC0878SW150.sc.caixa
SC,0878-0 MAFRA,SC0878SW151.sc.caixa,SC0878SW151.sc.caixa
SC,0878-0 MAFRA,SC0878SW152.sc.caixa,SC0878SW152.sc.caixa
SC,0878-0 MAFRA,SC0878SW199.sc.caixa,SC0878SW199.sc.caixa
SC,0879-0 PRAIA DE FORA,SC0879RA1.sc.caixa,SC0879RA1.sc.caixa
SC,0879-0 PRAIA DE FORA,SC0879SW150.sc.caixa,SC0879SW150.sc.caixa
SC,0879-0 PRAIA DE FORA,SC0879SW151.sc.caixa,SC0879SW151.sc.caixa
SC,0879-0 PRAIA DE FORA,SC0879SW152.sc.caixa,SC0879SW152.sc.caixa
SC,0879-0 PRAIA DE FORA,SC0879SW153.sc.caixa,SC0879SW153.sc.caixa
SC,0879-0 PRAIA DE FORA,SC0879SW154.sc.caixa,SC0879SW154.sc.caixa
SC,0879-0 PRAIA DE FORA,SC0879SW199.sc.caixa,SC0879SW199.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921RA1.sc.caixa,SC0921RA1.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW150.sc.caixa,SC0921SW150.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW151.sc.caixa,SC0921SW151.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW152.sc.caixa,SC0921SW152.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW153.sc.caixa,SC0921SW153.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW154.sc.caixa,SC0921SW154.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW155.sc.caixa,SC0921SW155.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW156.sc.caixa,SC0921SW156.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW157.sc.caixa,SC0921SW157.sc.caixa
SC,0921-0 BALNEARIO CAMBORIU,SC0921SW199.sc.caixa,SC0921SW199.sc.caixa
SC,0921-1 PAB JUSTICA DO TRABALHO BALNEaRIO CAMBORIu,SC0921RA2.sc.caixa,SC0921RA2.sc.caixa
SC,0921-1 PAB JUSTICA DO TRABALHO BALNEaRIO CAMBORIu,SC0921SW100.sc.caixa,SC0921SW100.sc.caixa
SC,1011-0 UNIVERSITaRIA,SC1011RA1.sc.caixa,SC1011RA1.sc.caixa
SC,1011-0 UNIVERSITaRIA,SC1011SW150.sc.caixa,SC1011SW150.sc.caixa
SC,1011-0 UNIVERSITaRIA,SC1011SW151.sc.caixa,SC1011SW151.sc.caixa
SC,1011-0 UNIVERSITaRIA,SC1011SW152.sc.caixa,SC1011SW152.sc.caixa
SC,1011-0 UNIVERSITaRIA,SC1011SW153.sc.caixa,SC1011SW153.sc.caixa
SC,1011-0 UNIVERSITaRIA,SC1011SW154.sc.caixa,SC1011SW154.sc.caixa
SC,1011-0 UNIVERSITaRIA,SC1011SW199.sc.caixa,SC1011SW199.sc.caixa
SC,1011-1 SNC FLORIPA SHOPPING,SC1011RA2.sc.caixa,SC1011RA2.sc.caixa
SC,1070-0 BRACO DO NORTE,SC1070RA1.sc.caixa,SC1070RA1.sc.caixa
SC,1070-0 BRACO DO NORTE,SC1070SW020.sc.caixa,SC1070SW020.sc.caixa
SC,1070-0 BRACO DO NORTE,SC1070SW021.sc.caixa,SC1070SW021.sc.caixa
SC,1070-0 BRACO DO NORTE,SC1070SW050.sc.caixa,SC1070SW050.sc.caixa
SC,1071-0 CAPINZAL,SC1071RA1.sc.caixa,SC1071RA1.sc.caixa
SC,1071-0 CAPINZAL,SC1071SW050.sc.caixa,SC1071SW050.sc.caixa
SC,1071-0 CAPINZAL,SC1071SW150.sc.caixa,SC1071SW150.sc.caixa
SC,1071-0 CAPINZAL,SC1071SW151.sc.caixa,SC1071SW151.sc.caixa
